,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
1527,CN,三利谱,SZ002876,32.4,0.36,1.12,-10.52,3700876.0,118425077.11,2.49,72.573,0.617,5633871797.0
1528,CN,安奈儿,SZ002875,15.41,0.42,2.8,-41.63,14366606.0,216828203.29,8.31,,,3282405078.0
1529,CN,新天药业,SZ002873,12.03,0.29,2.47,-16.36,2938440.0,34956879.4,1.31,29.518,0.831,2784839509.0
1530,CN,ST天圣,SZ002872,5.03,0.06,1.21,-4.73,1009751.0,5034903.48,0.47,,,1599540000.0
1531,CN,伟隆股份,SZ002871,10.9,0.05,0.46,10.02,2009470.0,21841616.57,1.68,21.551,2.119,2391120868.0
1532,CN,香山股份,SZ002870,34.48,0.64,1.89,31.71,1930900.0,66087935.0,1.75,32.503,0.435,4553967929.0
1533,CN,金溢科技,SZ002869,19.64,0.36,1.87,-8.49,3739000.0,72760808.5,2.47,107.951,0.305,3526486537.0
1534,CN,绿康生化,SZ002868,19.74,-0.1,-0.5,-62.82,1204760.0,23782774.8,0.79,,,3067908622.0
1535,CN,周大生,SZ002867,15.36,-0.29,-1.85,15.39,5851679.0,89487169.45,0.54,13.411,5.859,16833427430.0
1536,CN,传艺科技,SZ002866,19.41,0.35,1.84,-57.53,3827900.0,73609727.0,2.12,63.231,0.206,5619626989.0
1537,CN,钧达股份,SZ002865,67.74,-1.14,-1.66,-48.6,7382281.0,499398951.93,3.32,7.92,0.551,15403705191.0
1538,CN,盘龙药业,SZ002864,36.76,-0.11,-0.3,-4.84,1308911.0,48127111.55,2.03,36.411,0.495,3906888090.0
1539,CN,今飞凯达,SZ002863,5.87,0.01,0.17,9.28,7690934.0,45073060.92,1.54,26.602,0.17,2928352794.0
1540,CN,实丰文化,SZ002862,19.46,-0.56,-2.8,32.65,22254767.0,437830130.42,24.68,,,2335200000.0
1541,CN,瀛通通讯,SZ002861,13.64,0.78,6.07,35.45,17022778.0,227737010.81,14.25,,,2121721260.0
1542,CN,星帅尔,SZ002860,12.28,0.1,0.82,-4.84,2025000.0,24678176.96,0.89,19.529,0.814,3764004654.0
1543,CN,洁美科技,SZ002859,24.29,0.23,0.96,-13.66,2571476.0,62328637.96,0.64,55.944,0.412,10548156624.0
1544,CN,力盛体育,SZ002858,16.35,-0.35,-2.1,18.39,11614708.0,190743367.8,7.82,,,2680089351.0
1545,CN,三晖电气,SZ002857,15.71,0.23,1.49,10.48,1079540.0,16835340.6,0.84,309.874,,2010880000.0
1546,CN,美芝股份,SZ002856,14.88,0.0,0.0,47.91,7536119.0,109734710.12,6.47,,,2013454583.0
1547,CN,捷荣技术,SZ002855,42.38,-4.71,-10.0,437.82,44609105.0,1958540916.14,18.13,,,10443266123.0
1548,CN,皮阿诺,SZ002853,12.25,0.11,0.91,-37.11,2106000.0,25623087.0,1.59,22.008,,2285148663.0
1549,CN,道道全,SZ002852,10.58,0.29,2.82,-22.06,3708000.0,38730119.0,1.34,,2.079,3639184667.0
